Study,GA,Time,Conc,SD,Matrix,Cal
1,39,6552,8.9,3.2,MP,1
1,39,6552,2.9,1.1,CB,1
2,12,2016,35.3,13,MP,1
2,39,6552,11,4.7,CB,1
2,39,6552,29.2,11,MP,1
3,16,2688,12.7,,MP,1
3,39,6552,8.5,,MP,1
3,39,6552,3.5,,CB,1
4,13,2184,14.1,,MP,1
4,26,4368,13,,MP,1
4,38,6384,12.7,,MP,1
4,39,6552,4.3,,CB,1
5,9,1512,8.1,3.8,MP,1
5,25,4200,3.9,2,MP,1
5,37,6216,3.6,1.9,MP,1
5,9,1512,1.4,0.6,Pla,1
5,25,4200,1.2,0.6,Pla,1
5,37,6216,1.5,0.9,Pla,1
5,9,1512,1,0.2,Fli,1
5,25,4200,1.3,0.7,Fli,1
5,37,6216,1.4,1.3,Fli,1
6,39,6552,11.6,2.9,MP,1
6,39,6552,7.2,1.8,CB,1
7,28,4704,18.3,11,MP,0
7,39,6552,16.2,10.4,MP,0
7,39,6552,7.2,5.7,CB,0
8,37,6216,3.5,,MP,0
8,39,6552,3.5,,MP,0
8,39,6552,1.1,,CB,0
9,37,6216,5.4,2.5,MP,0
9,37,6216,0.2,0.2,CB,0
10,39,6552,10.8,5.5,MP,0
10,39,6552,3.4,1.6,CB,0
11,39,6552,14.6,5,MP,0
11,39,6552,8.2,3,Pla,0
11,39,6552,3.1,1.8,CB,0
11,39,6552,0,0.3,AM,0
12,39,6552,3.7,,MP,0
12,39,6552,2.4,,CB,0
12,39,6552,0.04,0.01,Milk,0
13,39,6552,5.1,3.3,MP,0
13,39,6552,1.5,1,CB,0
14,7,1176,8.2,,MP,0
14,7,1176,1.3,,Pla,0
14,7,1176,0.6,,Rest,0
15,39,6552,8.7,5.3,MP,0
15,39,6552,3.7,2.5,CB,0
15,39,6552,0.4,0.4,Pla,0
16,43,7224,20.7,10.5,MP,1
16,43,7224,0.2,0.1,Milk,1
17,53,8904,21.9,1.9,MP,1
18,66,11088,3.2,,MP,1
18,66,11088,3.3,,NP,1
18,81,13608,2.2,,NP,1
19,41,6888,0.05,0.04,Milk,1
19,42,7056,0.05,0.02,Milk,1
19,44,7392,0.07,0.04,Milk,1
19,53,8904,0.06,0.03,Milk,1
20,39,6552,5.6,2.4,MP,0
20,41,6888,0.1,0.03,Milk,0
20,39,6552,2,1.6,CB,0
21,41,6888,3.2,,MP,0
21,40,6720,1.7,,CB,0
21,41,6888,0.1,0.01,Milk,0
